Fecha,Cantidad,tend,ciclo
2014-01-01,50,74.20538637602102,-24.205386376021025
2014-01-02,89,75.7457541605906,13.254245839409407
2014-01-03,62,77.27099357867516,-15.27099357867516
2014-01-04,82,78.77426016743931,3.2257398325606914
2014-01-05,64,80.23916509306099,-16.23916509306099
2014-01-06,60,81.65133560911347,-21.651335609113474
2014-01-07,104,82.9862494909868,21.013750509013207
2014-01-08,124,84.20585242931531,39.794147570684686
2014-01-09,98,85.28522370880151,12.71477629119849
2014-01-10,100,86.22431395637958,13.775686043620425
2014-01-11,74,87.03102053416572,-13.03102053416572
2014-01-12,73,87.7218506080534,-14.721850608053401
2014-01-13,77,88.30516695610228,-11.305166956102283
2014-01-14,103,88.78013119974197,14.219868800258027
2014-01-15,109,89.13883923105455,19.861160768945453
2014-01-16,85,89.38227436012222,-4.382274360122224
2014-01-17,96,89.52383312250787,6.476166877492133
2014-01-18,86,89.57417313229917,-3.5741731322991654
2014-01-19,59,89.54799960788236,-30.54799960788236
2014-01-20,103,89.45778390943599,13.542216090564011
2014-01-21,105,89.2969048973837,15.703095102616302
2014-01-22,77,89.06720531720573,-12.067205317205733
2014-01-23,94,88.78034234882146,5.219657651178537
2014-01-24,94,88.44043116882702,5.559568831172982
2014-01-25,93,88.05484923985047,4.945150760149531
2014-01-26,54,87.63444875503936,-33.63444875503936
2014-01-27,84,87.19317262676628,-3.193172626766284
2014-01-28,111,86.72394223693207,24.276057763067925
2014-01-29,99,86.21768323454573,12.782316765454269
2014-01-30,103,85.68049380471824,17.31950619528176
2014-01-31,111,85.12646108053897,25.873538919461026
2014-02-01,48,84.58049688646935,-36.58049688646935
2014-02-02,49,84.08368400879533,-35.08368400879533
2014-02-03,49,83.65424242324889,-34.65424242324889
2014-02-04,99,83.2884648030565,15.711535196943501
2014-02-05,85,82.96098491993013,2.0390150800698734
2014-02-06,47,82.65625625507984,-35.65625625507984
2014-02-07,125,82.36000667414072,42.63999332585928
2014-02-08,102,82.03567888258846,19.964321117411544
2014-02-09,106,81.67336558172742,24.326634418272576
2014-02-10,103,81.27563717356033,21.724362826439673
2014-02-11,34,80.8602682066013,-46.860268206601305
2014-02-12,68,80.45861095613108,-12.458610956131082
2014-02-13,96,80.07273002980119,15.927269970198807
2014-02-14,101,79.69690340341558,21.303096596584425
2014-02-15,71,79.33536359650951,-8.33536359650951
2014-02-16,71,79.00565756399116,-8.005657563991164
2014-02-17,71,78.72012265852084,-7.720122658520836
2014-02-18,85,78.48609269678133,6.513907303218673
2014-02-19,71,78.30607641879384,-7.306076418793836
2014-02-20,94,78.18665375664403,15.813346243355966
2014-02-21,78,78.12983834465581,-0.12983834465580912
2014-02-22,74,78.14752715855522,-4.147527158555221
2014-02-23,57,78.25153602510295,-21.25153602510295
2014-02-24,64,78.45108856658557,-14.451088566585568
2014-02-25,58,78.74212619527393,-20.742126195273926
2014-02-26,83,79.11155839308475,3.8884416069152508
2014-02-27,82,79.53333081306275,2.466669186937253
2014-02-28,86,79.98381938425695,6.016180615743053
2014-03-01,83,80.44094170395819,2.559058296041812
2014-03-02,93,80.88637548234215,12.113624517657854
2014-03-03,56,81.30339784101947,-25.303397841019475
2014-03-04,85,81.68285691692437,3.317143083075635
2014-03-05,85,81.99978622334038,3.0002137766596206
2014-03-06,94,82.23129248797801,11.76870751202199
2014-03-07,107,82.35635757215817,24.643642427841826
2014-03-08,75,82.36131877939678,-7.3613187793967825
2014-03-09,102,82.24791568972717,19.752084310272835
2014-03-10,144,82.0132870589456,61.98671294105441
2014-03-11,37,81.66691669554231,-44.66691669554231
2014-03-12,67,81.25703010359567,-14.257030103595667
2014-03-13,84,80.80393596424938,3.1960640357506236
2014-03-14,73,80.31903231483236,-7.319032314832356
2014-03-15,79,79.81571473269587,-0.8157147326958665
2014-03-16,57,79.30280439999447,-22.30280439999447
2014-03-17,83,78.78861267717483,4.211387322825175
2014-03-18,89,78.26751167193355,10.732488328066452
2014-03-19,100,77.73650560904397,22.263494390956026
2014-03-20,87,77.19930651848449,9.80069348151551
2014-03-21,80,76.6735411142279,3.326458885772098
2014-03-22,67,76.18296154367295,-9.182961543672945
2014-03-23,54,75.75339899102192,-21.753398991021925
2014-03-24,45,75.40494528951237,-30.40494528951237
2014-03-25,86,75.14409639801241,10.855903601987592
2014-03-26,64,74.95834518458426,-10.95834518458426
2014-03-27,69,74.8419694570414,-5.841969457041401
2014-03-28,95,74.78239805745692,20.217601942543084
2014-03-29,76,74.76340859699323,1.23659140300677
2014-03-30,36,74.78141468802689,-38.781414688026885
2014-03-31,70,74.83360281256131,-4.83360281256131
2014-04-01,73,74.89292106841992,-1.8929210684199234
2014-04-02,94,74.92929655166833,19.07070344833167
2014-04-03,70,74.91147328270426,-4.911473282704264
2014-04-04,107,74.82011447158065,32.17988552841935
2014-04-05,54,74.63281365754878,-20.63281365754878
2014-04-06,93,74.34727680831516,18.652723191684842
2014-04-07,93,73.94831438305033,19.05168561694967
2014-04-08,88,73.43239479291967,14.567605207080334
2014-04-09,96,72.8078937525991,23.1921062474009
2014-04-10,88,72.09229173001903,15.907708269980972
2014-04-11,75,71.31756425951443,3.682435740485573
2014-04-12,69,70.52562919308903,-1.5256291930890313
2014-04-13,51,69.76070590508438,-18.76070590508438
2014-04-14,58,69.06606025159634,-11.06606025159634
